,nflId,height,weight,birthDate,collegeName,position,displayName
0,2539334,72,190,1990-09-10,Washington,CB,Desmond Trufant
1,2539653,70,186,1988-11-01,Southeastern Louisiana,CB,Robert Alford
2,2543850,69,186,1991-12-18,Purdue,SS,Ricardo Allen
3,2555162,73,227,1994-11-04,Louisiana State,MLB,Deion Jones
4,2555255,75,232,1993-07-01,Minnesota,OLB,De'Vondre Campbell
5,2555543,73,216,1995-07-26,Florida,FS,Keanu Neal
6,2556445,70,211,1992-10-20,Florida,CB,Brian Poole
7,2507763,72,200,1986-08-01,Mississippi,WR,Mike Wallace
8,2532842,78,243,1989-01-20,Arizona,QB,Nick Foles
9,2540158,77,250,1990-11-10,Stanford,TE,Zach Ertz
10,2552582,72,223,1993-06-15,Boise State,RB,Jay Ajayi
11,2552600,72,198,1993-05-24,Southern California,WR,Nelson Agholor
12,2553502,68,190,1993-04-10,Sacramento State,WR,DeAndre Carter
13,2552301,75,246,1992-07-08,Clemson,DE,Vic Beasley
14,2506467,66,190,1983-06-20,Kansas State,RB,Darren Sproles
15,2557967,73,230,1994-08-09,Louisiana State,OLB,Duke Riley
16,2558184,71,190,1993-06-05,San Diego State,SS,Damontae Kazee
17,2560995,77,256,1995-01-03,South Dakota State,TE,Dallas Goedert
18,2559150,70,220,1994-11-02,Wisconsin,RB,Corey Clement
19,310,76,217,1985-05-17,Boston College,QB,Matt Ryan
20,2495454,75,220,1989-02-08,Alabama,WR,Julio Jones
21,2507828,77,268,1987-02-26,UCLA,TE,Logan Paulsen
22,2552453,73,210,1993-04-16,Indiana,RB,Tevin Coleman
23,2555415,76,254,1994-10-29,Stanford,TE,Austin Hooper
24,2558023,77,253,1994-05-01,Drake,TE,Eric Saubert
25,79848,72,204,1987-12-20,Ohio State,SS,Malcolm Jenkins
26,2534832,70,195,1990-06-23,Virginia,FS,Rodney McLeod
27,2552315,73,236,1992-06-27,Texas,MLB,Jordan Hicks
28,2552689,71,193,1994-01-02,Florida State,CB,Ronald Darby
29,2555383,72,191,1994-04-06,Louisiana State,CB,Jalen Mills
30,2556363,74,230,1994-05-16,Eastern Illinois,OLB,Kamu Grugier-Hill
31,2558175,74,230,1995-02-23,Nebraska,LB,Nate Gerry
32,2543583,68,206,1992-03-15,Florida State,RB,Devonta Freeman
33,2552418,70,192,1991-12-18,East Carolina,WR,Justin Hardy
34,2557034,70,190,1993-04-10,Washington,WR,Marvin Hall
35,2560854,73,190,1994-12-20,Alabama,WR,Calvin Ridley
36,2557958,72,181,1996-05-21,Washington,CB,Sidney Jones
